,noc,Gold,Silver,Bronze,Medals Won,Medals Not Won,# Observations,Gold Prob. (%),Silver Prob. (%),Bronze Prob. (%),Medal Prob. (%)
178,SGP,0,0,0,0,2,2,0.0,0.0,0.0,0.0
179,SKN,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,SLE,0,0,0,0,0,0,0.0,0.0,0.0,0.0
181,SLO,2,0,3,5,20,25,8.0,0.0,12.0,20.0
182,SMR,0,0,0,0,9,9,0.0,0.0,0.0,0.0
183,SOL,0,0,0,0,1,1,0.0,0.0,0.0,0.0
184,SOM,0,0,0,0,0,0,0.0,0.0,0.0,0.0
185,SRB,0,0,0,0,2,2,0.0,0.0,0.0,0.0
186,SRI,0,0,0,0,1,1,0.0,0.0,0.0,0.0
187,SSD,0,0,0,0,0,0,0.0,0.0,0.0,0.0
188,STP,0,0,0,0,0,0,0.0,0.0,0.0,0.0
189,SUD,0,0,0,0,3,3,0.0,0.0,0.0,0.0
190,SUI,1,1,2,4,30,34,2.94,2.94,5.88,11.76
191,SUR,0,0,0,0,5,5,0.0,0.0,0.0,0.0
192,SVK,0,1,0,1,6,7,0.0,14.29,0.0,14.29
193,SWE,0,0,0,0,28,28,0.0,0.0,0.0,0.0
194,SWZ,0,0,0,0,0,0,0.0,0.0,0.0,0.0
195,SYR,0,0,0,0,9,9,0.0,0.0,0.0,0.0
196,TAN,0,0,0,0,1,1,0.0,0.0,0.0,0.0
197,TCH,0,0,1,1,16,17,0.0,0.0,5.88,5.88
198,TGA,0,0,0,0,1,1,0.0,0.0,0.0,0.0
199,THA,0,0,0,0,10,10,0.0,0.0,0.0,0.0
200,TJK,0,0,1,1,9,10,0.0,0.0,10.0,10.0
201,TKM,0,0,0,0,10,10,0.0,0.0,0.0,0.0
202,TLS,0,0,0,0,0,0,0.0,0.0,0.0,0.0
203,TOG,0,0,0,0,3,3,0.0,0.0,0.0,0.0
204,TPE,0,0,0,0,43,43,0.0,0.0,0.0,0.0
205,TTO,0,0,0,0,1,1,0.0,0.0,0.0,0.0
206,TUN,0,0,0,0,38,38,0.0,0.0,0.0,0.0
207,TUR,1,0,1,2,31,33,3.03,0.0,3.03,6.06
208,TUV,0,0,0,0,0,0,0.0,0.0,0.0,0.0
209,UAE,0,0,1,1,4,5,0.0,0.0,20.0,20.0
210,UAR,0,0,0,0,0,0,0.0,0.0,0.0,0.0
211,UGA,0,0,0,0,0,0,0.0,0.0,0.0,0.0
212,UKR,0,1,2,3,41,44,0.0,2.27,4.55,6.82
213,UNK,0,0,0,0,0,0,0.0,0.0,0.0,0.0
214,URS,5,5,13,23,8,31,16.13,16.13,41.94,74.19
215,URU,0,0,0,0,6,6,0.0,0.0,0.0,0.0
216,USA,2,4,8,14,91,105,1.9,3.81,7.62,13.33
217,UZB,0,2,4,6,36,42,0.0,4.76,9.52,14.29
218,VAN,0,0,0,0,2,2,0.0,0.0,0.0,0.0
219,VEN,0,0,0,0,40,40,0.0,0.0,0.0,0.0
220,VIE,0,0,0,0,3,3,0.0,0.0,0.0,0.0
221,VIN,0,0,0,0,0,0,0.0,0.0,0.0,0.0
222,VNM,0,0,0,0,3,3,0.0,0.0,0.0,0.0
223,WIF,0,0,0,0,0,0,0.0,0.0,0.0,0.0
224,YAR,0,0,0,0,2,2,0.0,0.0,0.0,0.0
225,YEM,0,0,0,0,8,8,0.0,0.0,0.0,0.0
226,YMD,0,0,0,0,0,0,0.0,0.0,0.0,0.0
227,YUG,0,0,2,2,22,24,0.0,0.0,8.33,8.33
228,ZAM,0,0,0,0,12,12,0.0,0.0,0.0,0.0
229,ZIM,0,0,0,0,7,7,0.0,0.0,0.0,0.0
